"All","All"
"Bank Type","Bank Type"
"Confirm your payment securely", "Confirm your payment securely"
"Connection did not succeed. Make sure you have entered the right parameters.","Connection did not succeed. Make sure you have entered the right parameters."
"Connection succeeded","Connection succeeded"
"Corporate","Corporate"
"Enabled", "Enabled"
"Environment","Environment"
"Filter the bank type","Filter the bank type"
"Fintecture APP ID","Fintecture APP ID"
"Fintecture APP Secret","Fintecture APP Secret"
"Fintecture Private Key","Fintecture Private Key"
"Fintecture Settings","Fintecture Settings"
"How it works?", "How it works?"
"Instant bank payment","Instant bank payment",
"Login with your usual banking ID’s", "Login with your usual banking ID’s"
"No private key file found", "No private key file found"
"Pay for your purchases instantly and securely.", "Pay for your purchases instantly and securely."
"Pay instantly and securely directly from your bank account.<br>Collect payments without any credit limit. Reduce your transaction fees by 40%!","Pay instantly and securely directly from your bank account.<br>Collect payments without any credit limit. Reduce your transaction fees by 40%!",
"Pay Now","Pay Now"
"Payment from Applicable Countries", "Payment from Applicable Countries"
"Payment from Specific Countries", "Payment from Specific Countries"
"Payment Options","Payment Options"
"Payment was initiated but has not been confirmed yet. Merchant will send confirmation once the transaction is settled.", "Payment was initiated but has not been confirmed yet. Merchant will send confirmation once the transaction is settled."
"Please re-upload Private Key file","Please re-upload Private Key file"
"Please upload Private Key file","Please upload Private Key file"
"Private Key file already saved","Private Key file already saved"
"Production","Production"
"Retail","Retail"
"Sandbox","Sandbox"
"Select your bank", "Select your bank"
"Show logo at checkout","Show logo at checkout"
"Show Logo","Show Logo"
"Something went wrong try another payment method!", "Something went wrong try another payment method!"
"Test Connection", "Test Connection"
"The payment was unsuccessful. Please choose a different bank or different payment method.", "The payment was unsuccessful. Please choose a different bank or different payment method."
"Title", "Title"
"Upload APP Private Key","Upload APP Private Key"
"Use system value", "Use system value"
"We can't place the order.", "We can't place the order."
"You will be automatically redirected to your secured bank environment to confirm your payment.", "You will be automatically redirected to your secured bank environment to confirm your payment."
"Your purchase is confirmed!", "Your purchase is confirmed!"
"The payment has been validated by the bank.", "The payment has been validated by the bank."
"The bank is validating the payment.", "The bank is validating the payment."
"The payment was rejected by either the payer or the bank.", "The payment was rejected by either the payer or the bank."
"The payment has failed for technical reasons.", "The payment has failed for technical reasons."
"The payer got redirected to their bank and needs to authenticate.", "The payer got redirected to their bank and needs to authenticate."
"The payment has been dropped by the payer.", "The payment has been dropped by the payer."
"The payment link has expired.", "The payment link has expired."
"A partial payment has been made.", "A partial payment has been made."
"The payment has been completed with a higher amount.", "The payment has been completed with a higher amount."
"Unhandled status.", "Unhandled status."
"The refund link has been send.", ""
"The refund has been made.", "The refund has been made."
"The refund has failed.", "The refund has failed."
"Advanced Fintecture Settings", "Advanced Fintecture Settings"
"Payment status mapping between Fintecture and Magento", "Payment status mapping between Fintecture and Magento"
"New order status", "New order status"
"Accepted payment", "Accepted payment"
"Pending payment", "Pending payment"
"Overpaid payment", "Overpaid payment"
"Partial payment", "Partial payment"
"Failed payment", "Failed payment"
"Automatic expiration of pending orders", "Automatic expiration of pending orders"
"Enable automatic expiration of pending orders", "Enable automatic expiration of pending orders"
"Automatic expiration of pending orders after", "Automatic expiration of pending orders after"
"In minutes. Minimum value: 1", "In minutes. Minimum value: 1"
"Module version:", "Module version:"
"This section is intended for advanced users. Changing the settings may impact the proper functioning of your system.", "This section is intended for advanced users. Changing the settings may impact the proper functioning of your system."
"Invoicing", "Invoicing"
"Enable invoice generation for paid orders", "Enable invoice generation for paid orders"
"Alternative payment methods for 'Login as Customer' feature", "Alternative payment methods for 'Login as Customer' feature"
"Enable alternative payment methods for 'Login as Customer' feature", "Enable alternative payment methods for 'Login as Customer' feature"
"Not available in all Magento versions. Check the GitHub page of our Magento plugin for conditions.", "Not available in all Magento versions. Check the GitHub page of our Magento plugin for conditions."
"Choose the alternative payment method for 'Login as Customer' feature", "Choose the alternative payment method for 'Login as Customer' feature"
"Payment by QR Code", "Payment by QR Code"
"Payment by SMS or Email", "Payment by SMS or Email"
"Order validated", "Order validated"
"If the payment has been made, then the order will be validated in a few moments.", "If the payment has been made, then the order will be validated in a few moments."
"Return to the homepage", "Return to the homepage"
"Scan this QR Code to pay with Fintecture", "Scan this QR Code to pay with Fintecture"
"Continue", "Continue"
"Choose how to send your payment link", "Choose how to send your payment link"
"Your payment link has been sent successfully", "Your payment link has been sent successfully"
"Secured connection to your bank by", "Secured connection to your bank by"
"Overpaid order. Amount received: ", "Overpaid order. Amount received: "
